Empresa,Regional,Ano,Mes,Chuva,Raio(NS)
E5,,2023,1,72,27635
E5,,2023,2,71,29145
E5,,2023,3,128,14546
E5,,2023,4,37,7752
E5,,2023,5,0,2800
E5,,2023,6,,
E5,,2023,7,,
E5,,2023,8,,
E5,,2023,9,,
E5,,2023,10,,
E5,,2023,11,,
E5,,2023,12,,
E7,,2023,1,169,22351
E7,,2023,2,101,20825
E7,,2023,3,139,42673
E7,,2023,4,48,7180
E7,,2023,5,0,26286
E7,,2023,6,0,93
E7,,2023,7,,
E7,,2023,8,,
E7,,2023,9,,
E7,,2023,10,,
E7,,2023,11,,
E7,,2023,12,,
E7,,2023,1,178,17131
E7,,2023,2,59,28993
E7,,2023,3,134,29706
E7,,2023,4,52,12403
E7,,2023,5,0,33206
E7,,2023,6,0,324
E7,,2023,7,,
E7,,2023,8,,
E7,,2023,9,,
E7,,2023,10,,
E7,,2023,11,,
E7,,2023,12,,
E7,,2023,1,185,40126
E7,,2023,2,67,43566
E7,,2023,3,120,60094
E7,,2023,4,34,20129
E7,,2023,5,0,39957
E7,,2023,6,0,32
E7,,2023,7,,
E7,,2023,8,,
E7,,2023,9,,
E7,,2023,10,,
E7,,2023,11,,
E7,,2023,12,,
E4,,2023,1,23,18
E4,,2023,2,22,592
E4,,2023,3,98,184
E4,,2023,4,107,46
E4,,2023,5,0,2
E4,,2023,6,,
E4,,2023,7,,
E4,,2023,8,,
E4,,2023,9,,
E4,,2023,10,,
E4,,2023,11,,
E4,,2023,12,,
E4,,2023,1,15,519
E4,,2023,2,20,594
E4,,2023,3,54,1178
E4,,2023,4,79,187
E4,,2023,5,0,13
E4,,2023,6,,
E4,,2023,7,,
E4,,2023,8,,
E4,,2023,9,,
E4,,2023,10,,
E4,,2023,11,,
E4,,2023,12,,
E3,,2023,1,207,12750
E3,,2023,2,89,6309
E3,,2023,3,127,6182
E3,,2023,4,23,3341
E3,,2023,5,,
E3,,2023,6,,
E3,,2023,7,,
E3,,2023,8,,
E3,,2023,9,,
E3,,2023,10,,
E3,,2023,11,,
E3,,2023,12,,
E3,,2023,1,197,5957
E3,,2023,2,54,7569
E3,,2023,3,87,4271
E3,,2023,4,50,875
E3,,2023,5,,
E3,,2023,6,,
E3,,2023,7,,
E3,,2023,8,,
E3,,2023,9,,
E3,,2023,10,,
E3,,2023,11,,
E3,,2023,12,,
E3,,2023,1,212,8732
E3,,2023,2,42,4074
E3,,2023,3,91,3267
E3,,2023,4,44,2506
E3,,2023,5,,
E3,,2023,6,,
E3,,2023,7,,
E3,,2023,8,,
E3,,2023,9,,
E3,,2023,10,,
E3,,2023,11,,
E3,,2023,12,,
E3,,2023,1,226,19258
E3,,2023,2,145,8851
E3,,2023,3,142,3760
E3,,2023,4,21,14637
E3,,2023,5,,
E3,,2023,6,,
E3,,2023,7,,
E3,,2023,8,,
E3,,2023,9,,
E3,,2023,10,,
E3,,2023,11,,
E3,,2023,12,,
E3,,2023,1,123,5607
E3,,2023,2,26,1623
E3,,2023,3,77,2223
E3,,2023,4,14,856
E3,,2023,5,,
E3,,2023,6,,
E3,,2023,7,,
E3,,2023,8,,
E3,,2023,9,,
E3,,2023,10,,
E3,,2023,11,,
E3,,2023,12,,
E6,,2023,1,201,229212
E6,,2023,2,151,201715
E6,,2023,3,135,86095
E6,,2023,4,71,27088
E6,,2023,5,0,20008
E6,,2023,6,,
E6,,2023,7,,
E6,,2023,8,,
E6,,2023,9,,
E6,,2023,10,,
E6,,2023,11,,
E6,,2023,12,,
E6,,2023,1,193,253381
E6,,2023,2,78,274040
E6,,2023,3,48,68926
E6,,2023,4,64,9203
E6,,2023,5,0,2937
E6,,2023,6,0,7
E6,,2023,7,,
E6,,2023,8,,
E6,,2023,9,,
E6,,2023,10,,
E6,,2023,11,,
E6,,2023,12,,
E6,,2023,1,219,362349
E6,,2023,2,62,339376
E6,,2023,3,106,86063
E6,,2023,4,39,20406
E6,,2023,5,0,11501
E6,,2023,6,,
E6,,2023,7,,
E6,,2023,8,,
E6,,2023,9,,
E6,,2023,10,,
E6,,2023,11,,
E6,,2023,12,,
